titulo,preco,preco_anterior,desconto,imagem,link,caracteristica1,caracteristica2,caracteristica3
LEGO Star Wars 75375 Falcão Milenar - Maquete para adultos,"69.11","86.40","20","https://m.media-amazon.com/images/I/817nj2XltKL._AC_SL1500_.jpg","https://www.amazon.es/dp/B0CFW29DZX?tag=poupamais-21","Modelo colecionável do Falcão Milenário para construir e expor","Um veículo de Star Wars com detalhes fiéis","Projetado como peça de exposição e decoração para o lar"
Medical king Óculos homologados Eclipse solar ISO 12312-2,"8.24","12.19","32","https://m.media-amazon.com/images/I/712CqDC6kkL._AC_SL1270_.jpg","https://www.amazon.es/dp/B0C6N2WP18?tag=poupamais-21","","",""
Clarks Un Costa Lace sapatilhas para homem,"66.06","111.82","41","https://m.media-amazon.com/images/I/61YGD51BA2L._AC_SL1500_.jpg","https://www.amazon.es/dp/B07TLP87Z6?tag=poupamais-21","","",""
Munich Wave ZapatillasMujer,"57.95","106.74","46","https://m.media-amazon.com/images/I/710wR7qdDpL._AC_SL1500_.jpg","https://www.amazon.es/dp/B07ZK5G13G?tag=poupamais-21","","",""
HOMCOM Espelho Guarda-joias com Luzes LED,"46.35","63.01","26","https://m.media-amazon.com/images/I/81qnAyLVHpL._AC_SL1500_.jpg","https://www.amazon.es/dp/B0G18V8L1V?tag=poupamais-21","Espelho com caixa de jóias resistente","Amplo espaço de arrumação","16 luzes LED incorporadas"
YRF microfone sem fios lapela para iPhone Android iPad,"20.28","30.49","33","https://m.media-amazon.com/images/I/81Y7uWa-yBL._AC_SL1500_.jpg","https://www.amazon.es/dp/B0DDC9Q1NY?tag=poupamais-21","Plug & Play fácil de usar: conecte o recetor ao dispositivo","Ampla compatibilidade: inclui conector USB C e adaptador Lightning para iPhone/iPad/Android","Som de nível de estúdio e redução de ruído"
FLAMINGUEO - Tapete de piscina,"16.21","25.41","36","https://m.media-amazon.com/images/I/51tp+hqAXuL._AC_SL1250_.jpg","https://www.amazon.es/dp/B0F486LLK7?tag=poupamais-21","O tapete insuflável tem um design ergonómico e confortável","Feito de PVC com capa externa 100% poliéster","60 x 110 x 15 cm"
Barbie Pop Reveal coleção doces boneca de moda,"16.90","27.44","38","https://m.media-amazon.com/images/I/714I1XxPmPL._AC_SL1500_.jpg","https://www.amazon.es/dp/B0DL6JLQBQ?tag=poupamais-21","Cada conjunto inclui oito surpresas","",""
JcoGel Conjunto de 2500 fitas de loom 32 cores,"9.16","13.21","31","https://m.media-amazon.com/images/I/811YL4IUEeL._AC_SL1500_.jpg","https://www.amazon.es/dp/B0BBHC2RGN?tag=poupamais-21","","",""
Dodot Fralda cuecas ninjamas tamanho 4-7 anos (17-30kg),"17.34","32.14","46","https://m.media-amazon.com/images/I/811msH2VAHL._AC_SL1500_.jpg","https://www.amazon.es/dp/B0GYJ963N4?tag=poupamais-21","Enfrente acidentes noturnos e acorde com confiança graças às calças de pijama Ninjamas","Proteção contra fugas durante toda a noite","A tecnologia de absorção instantânea Dodot absorve instantaneamente a humidade"
SodaStream Duo Pack Máquina Gasificadora de Água,"121.98","152.47","20","https://m.media-amazon.com/images/I/71WW1JU10KL._AC_SL1500_.jpg","https://www.amazon.es/dp/B08XZH4X1N?tag=poupamais-21","Manter a sua hidratação nunca foi tão fácil","Basta pressionar um botão para criar a sua água com gás","Kit completo"
